Date,High,Low,Open,Close,Volume,Adj Close,Name
2021-11-09,171.94000244140625,167.64999389648438,170.6699981689453,168.52000427246094,196100,168.52000427246094,IPGP
2021-11-10,169.67999267578125,165.4199981689453,167.25999450683594,166.69000244140625,270800,166.69000244140625,IPGP
2021-11-11,168.52999877929688,165.22000122070312,165.22000122070312,167.75999450683594,177900,167.75999450683594,IPGP
2021-11-12,170.60000610351562,167.35000610351562,169.0800018310547,170.0800018310547,151700,170.0800018310547,IPGP
2021-11-15,172.27000427246094,168.7100067138672,171.07000732421875,170.22999572753906,152600,170.22999572753906,IPGP
2021-11-16,172.9600067138672,169.97999572753906,170.6199951171875,172.82000732421875,197500,172.82000732421875,IPGP
2021-11-17,173.5,170.1199951171875,172.9499969482422,170.89999389648438,285900,170.89999389648438,IPGP
2021-11-18,172.05999755859375,164.52000427246094,171.32000732421875,164.80999755859375,314100,164.80999755859375,IPGP
2021-11-19,165.92999267578125,163.4600067138672,164.4199981689453,163.89999389648438,222900,163.89999389648438,IPGP
2021-11-22,168.0,163.17999267578125,164.25999450683594,164.1999969482422,309800,164.1999969482422,IPGP
2021-11-23,165.2100067138672,162.02000427246094,163.92999267578125,164.41000366210938,352800,164.41000366210938,IPGP
2021-11-24,164.5500030517578,158.8699951171875,161.52999877929688,164.35000610351562,205000,164.35000610351562,IPGP
2021-11-26,162.25999450683594,156.6699981689453,158.11000061035156,157.77000427246094,154000,157.77000427246094,IPGP
2021-11-29,163.4199981689453,156.69000244140625,160.3699951171875,163.17999267578125,267200,163.17999267578125,IPGP
2021-11-30,165.6300048828125,159.6300048828125,162.47999572753906,164.19000244140625,548800,164.19000244140625,IPGP
2021-12-01,169.41000366210938,162.30999755859375,166.94000244140625,162.39999389648438,375000,162.39999389648438,IPGP
2021-12-02,166.6199951171875,161.1999969482422,162.91000366210938,162.47000122070312,272100,162.47000122070312,IPGP
2021-12-03,165.97999572753906,160.77999877929688,164.58999633789062,164.5399932861328,310400,164.5399932861328,IPGP
2021-12-06,170.05999755859375,162.02000427246094,165.1199951171875,169.86000061035156,317100,169.86000061035156,IPGP
2021-12-07,173.27000427246094,168.02999877929688,172.0,169.1199951171875,295900,169.1199951171875,IPGP
2021-12-08,171.77000427246094,167.47000122070312,169.72999572753906,170.9199981689453,161900,170.9199981689453,IPGP
2021-12-09,172.85000610351562,169.80999755859375,170.63999938964844,170.6199951171875,182400,170.6199951171875,IPGP
2021-12-10,173.13999938964844,166.47000122070312,172.5500030517578,166.92999267578125,208800,166.92999267578125,IPGP
